word,Target
"Now the hottest stock in the market is $CHL China Mobile Limited. Join the discussion: why the stock is hot, where the price goes, time to buy or sell it. Talk to the top traders, analysts and even your friends, and share your ideas.",spam
"We have just announced a fun free posting contest for January. Two $25 prizes are up for grabs. Whoever makes the most posts about the book on the forums wins $25, and whoever's topic about the book gets the most replies also wins $25. Both prizes could be won by the same person. Enter the free contest in two simple free steps:",spam
"Your monthly review is ready. We crunch the numbers to help you understand your cash better, empowering you with information to help you grow financially.",not_spam
"You received this email because because you're participating in 'Uber Nairobi Ambulance Perambulation Challenge' on Zindi. If you’d like to change what emails we send you, update your preferences here.",spam
Bismart posted in Friends Who Like Association Of Kenya Professional Insurance Agents - AKPIA,not_spam
"hi Njau, I would suggest that you join any or all the following comprtions:",not_spam
"Dear KENNEDY NGANGA,    lease find attached your M-PESA Statement for mobile number 254726027725 for period 01 Dec 2020 - 31 Dec 2020. You can save, view or print the statement at your convenience.",not_spam
Gichure Anthony added a new photo.,spam
Charita Chacha added a new photo.,spam
"New Year’s learning sale for courses from US$9.99 ends on January 7, 2021. Promotional offer for downloadable learning guide ends on January 7, 2021. Udemy students who make at least one qualifying course purchase on Udemy from December 30, 2020 to January 7, 2021 can receive a free downloadable learning guide. This offer is non-transferrable and has no cash value. Limit one per person",not_spam
